Dataset,Model,VaR_alpha,Avg_VaR,Avg_ES,CovP,ViolationRate,CRPS,ES_Loss,N,Violations
synthetic_regime_garch,"EGARCH(2,1)-t",0.025,-0.7821921602817308,-1.189282675848517,0.0015873015873015,0.0015873015873015,0.1849843808183138,0.0005482556567639,630,1
synthetic_regime_garch,"Generalized-GARCH(2,2)-t",0.025,-0.7883086647439564,-1.1985825041554836,0.0015873015873015,0.0015873015873015,0.1851238064994211,0.0007028284807128,630,1
synthetic_regime_garch,"GARCH(1,2)-t",0.025,-0.7883026614800183,-1.1985733765035296,0.0015873015873015,0.0015873015873015,0.1851239461879781,0.0007027695849459,630,1
synthetic_regime_garch,"Threshold-GARCH(1,1)-t",0.025,-0.7434383479716846,-1.1303595110000966,0.0015873015873015,0.0015873015873015,0.1857664746133965,0.0001544908821608,630,1
synthetic_regime_garch,"EGARCH(1,1)-t",0.025,-0.784870705990331,-1.1933552658966702,0.0015873015873015,0.0015873015873015,0.1862073780002161,0.0003665217597377,630,1
synthetic_regime_garch,"FIGARCH(1,1)-t",0.025,-0.8054058488866301,-1.2245778873096054,0.0015873015873015,0.0015873015873015,0.1862290942453487,0.0005436148413483,630,1
synthetic_regime_garch,"GJR-GARCH(1,1)-t",0.025,-0.782664549588122,-1.1900009193273895,0.0015873015873015,0.0015873015873015,0.1865288019613125,0.0005528736318219,630,1
synthetic_regime_garch,"APGARCH/APARCH(1,1)-t",0.025,-0.7870856416840735,-1.1967229609241143,0.0015873015873015,0.0015873015873015,0.1866160842027877,0.0005966899295763,630,1
synthetic_regime_garch,"APGARCH/APARCH(2,1)-t",0.025,-0.7870672603130678,-1.1966950130013334,0.0015873015873015,0.0015873015873015,0.1866161039816272,0.0005964845954412,630,1
synthetic_regime_garch,"GARCH(2,1)-t",0.025,-0.7880106751671153,-1.1981294264345397,0.0015873015873015,0.0015873015873015,0.1867978297453956,0.0004178837050385,630,1
synthetic_regime_garch,"GARCH(1,1)-t",0.025,-0.7880093219612319,-1.1981273689550664,0.0015873015873015,0.0015873015873015,0.186798176178063,0.0004178163669857,630,1
synthetic_regime_garch,"ARMA(1,1)-REGARCH-t",0.025,-1.6779346144923657,-2.551212693698663,0.001531393568147,0.001531393568147,0.2586115428940881,0.0006339151276465,653,1
synthetic_regime_garch,"ARMA(1,1)-RGARCH-t",0.025,-2.682646622448865,-4.078825275304272,0.0,0.0,0.3504614831294311,0.0,653,0
synthetic_regime_garch,RGARCH-t,0.025,-2.9805048158604497,-4.531703234546851,0.0,0.0,0.380009786971918,0.0,653,0
synthetic_regime_garch,REGARCH-t,0.025,-3.101225867182575,-4.715253341845179,0.0,0.0,0.3920319576088429,0.0,653,0
synthetic_regime_garch,HAR-RV,0.025,-3.682486892597064,-5.599030631843088,0.0,0.0,0.4505697284547758,0.0,653,0
